tier_1,tier_2,tier_3,label_slug,lnf_codes,lnf_descriptions,label_slugs_orig
Vegetation,PerennialCrop,FodderCereals,Vegetation_PerennialCrop_FodderCereals,[507],['Futterweizen gemäss Sortenliste swiss granum'],['Vegetation_Field crops_SmallGrainCereal_Wheat']
Vegetation,PerennialCrop,Oats,Vegetation_PerennialCrop_Oats,[504],['Hafer'],['Vegetation_Field crops_SmallGrainCereal_Oat']
Vegetation,PerennialCrop,Rye,Vegetation_PerennialCrop_Rye,[514],['Roggen'],['Vegetation_Field crops_SmallGrainCereal_Rye']
Vegetation,PerennialCrop,SpecialCulturePerennial,Vegetation_PerennialCrop_SpecialCulturePerennial,"[705, 706, 707, 710]","['Mehrjährige Beeren', 'Mehrjährige Gewürz- und Medizinalpflanzen', 'Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.)', 'Spargel']","[nan, nan, nan, nan]"
Vegetation,PerennialCrop,Spelt,Vegetation_PerennialCrop_Spelt,[516],['Dinkel'],['Vegetation_Field crops_SmallGrainCereal_Spelt']
Vegetation,PerennialCrop,SugarBeet,Vegetation_PerennialCrop_SugarBeet,"[522, 523]","['Zuckerrüben', 'Futterrüben']","[nan, 'Vegetation_Field crops_BroadLeafRowCrop_Beets']"
Vegetation,PerennialCrop,Triticale,Vegetation_PerennialCrop_Triticale,[505],['Triticale'],['Vegetation_Field crops_SmallGrainCereal_Wheat']
Vegetation,PerennialCrop,WinterBarley,Vegetation_PerennialCrop_WinterBarley,[502],['Wintergerste'],['Vegetation_Field crops_SmallGrainCereal_Barley']
Vegetation,PerennialCrop,WinterRapeseed,Vegetation_PerennialCrop_WinterRapeseed,"[527, 591]","['Winterraps zur Speiseölgewinnung', 'Winterraps als nachwachsender Rohstoff']","[nan, nan]"
Vegetation,PerennialCrop,WinterWheat,Vegetation_PerennialCrop_WinterWheat,[513],['Winterweizen (ohne Futterweizen der Sortenliste swiss granum)'],['Vegetation_Field crops_SmallGrainCereal_Wheat']
Vegetation,Permaculture,Chestnuts,Vegetation_Permaculture_Chestnuts,"[720, 923]","['Gepflegte Selven (Edelkastanienbäume)', 'Edelkastanienbäume']","[nan, nan]"
Vegetation,Permaculture,Grassland,Vegetation_Permaculture_Grassland,"[555, 556, 557, 559, 572, 601, 602, 611, 612, 613, 616, 617, 618, 621, 622, 623, 625, 632, 634, 635, 650, 660, 693, 694, 697, 698, 750, 760, 797, 798, 908, 930, 933, 935, 950]","['Ackerschonstreifen', 'Buntbrache', 'Rotationsbrache', 'Saum auf Ackerflächen', 'Nützlingsstreifen auf offener Ackerfläche', 'Kunstwiesen (ohne Weiden)', 'Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide)', 'Extensiv genutzte Wiesen (ohne Weiden)', 'Wenig intensiv genutzte Wiesen (ohne Weiden)', 'Übrige Dauerwiesen (ohne Weiden)', 'Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden)', 'Extensiv genutzte Weiden', 'Waldweiden (ohne bewaldete Fläche)', 'Heuwiesen im Sömmerungsgebiet, Übrige Wiesen', 'Heuwiesen im Sömmerungsgebiet, Typ extensiv genutzte Wiese', 'Heuwiesen im Sömmerungsgebiet, Typ wenig intensiv genutzte Wiese', 'Waldweiden (ohne bewaldete Fläche)', 'Futtergräser für die Samenproduktion (Vertragsanbau)', 'Uferwiesen entlang von Fliessgewässern (ohne Weiden)', 'Uferwiesen (ohne Weiden)', 'Übrige Dauerwiesen, beitragsberechtigt aggregiert', 'Übrige Dauerweiden, beitragsberechtigt aggregiert', 'Regionsspezifische Biodiversitätsförderflächen (Weiden)', 'Regionsspezifische Biodiversitätsförderfläche (Grünflächen ohne Weiden)', 'Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt', 'Übrige Grünfläche (Dauergrünflächen), nicht beitragsberechtigt', 'Übrige Dauerkulturen, beitragsberechtigt, aggregiert', 'Dauerkulturen, nicht beitragsberechtigt, aggregiert', 'Übrige Flächen mit Dauerkulturen, beitragsberechtigt', 'Übrige Flächen mit Dauerkulturen, nicht beitragsberechtigt', 'Regionsspezifische Biodiversitätsförderflächen', 'Sömmerungsweiden', 'Gemeinschaftsweiden', 'Heuwiesen mit Zufütterung während der Sömmerung', 'Ackerschonstreifen']","['Vegetation_Grassland_BiodiversityArea_Biodiversity encouragement area', 'Vegetation_Special crops_Fallow_Fallow', 'Vegetation_Special crops_Fallow_Fallow', nan, nan, 'Vegetation_Grassland_Meadow_Meadow', 'Vegetation_Grassland_Meadow_Meadow', 'Vegetation_Grassland_Meadow_Meadow', 'Vegetation_Grassland_Meadow_Meadow', 'Vegetation_Grassland_Meadow_Meadow', 'Vegetation_Grassland_Pasture_Pasture', 'Vegetation_Grassland_Pasture_Pasture', 'Vegetation_Grassland_Pasture_Pasture', 'Vegetation_Grassland_Meadow_Meadow', 'Vegetation_Grassland_Meadow_Meadow', nan, 'Vegetation_Grassland_Pasture_Pasture', nan, 'Vegetation_Grassland_Meadow_Meadow', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Vegetation_Grassland_BiodiversityArea_Biodiversity encouragement area', 'Vegetation_Grassland_Pasture_Pasture', nan, nan, nan]"
Vegetation,Permaculture,Orchards,Vegetation_Permaculture_Orchards,"[702, 703, 704, 718, 719, 722, 730, 731, 921, 922, 924, 927]","['Obstanlagen (Äpfel)', 'Obstanlagen (Birnen)', 'Obstanlagen (Steinobst)', 'Trüffelanlagen', 'Maulbeerbaumanlagen (Fütterung Seidenraupen)', 'Baumschulen von Reben', 'Obstanlagen aggregiert', 'Andere Obstanlagen (Kiwis, Holunder usw.)', 'Hochstamm-Feldobstbäume (Punkte oder Flächen)', 'Nussbäume (Punkte oder Flächen)', 'Einheimische standortgerechte Einzelbäume und Alleen (Punkte oder Flächen)', 'Andere Bäume (regionsspezifische Biodiversitätsförderfläche)']","['Vegetation_Orchards_OrchardCrop_Orchards', 'Vegetation_Orchards_OrchardCrop_Orchards', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Vegetation,Permaculture,SpecialCulturePerma,Vegetation_Permaculture_SpecialCulturePerma,"[708, 712, 713, 714, 715, 721, 723, 724, 725, 852, 857, 858, 902, 909]","['Hopfen', 'Christbäume', 'Baumschule von Forstpflanzen ausserhalb der Forstzone', 'Ziersträucher, Ziergehölze und Zierstauden', 'Übrige Baumschulen (Rosen, Früchte, usw.)', 'Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus)', 'Baumschulen von Obst und Beeren', 'Übrige Baumschulen (Rosen, Zierstauden, usw.)', 'Permakultur', 'Hecken-, Feld- und Ufergehölze (mit Krautsaum)', 'Hecken-, Feld- und Ufergehölze (mit Pufferstreifen)', 'Hecken-, Feld- und Ufergehölze (mit Pufferstreifen) (regionsspezifische Biodiversitätsförderfläche)', 'Übrige unproduktive Flächen (z.B. gemulchte Flächen, stark verunkrautete Flächen, Hecken ohne Pufferstreifen)', 'Hausgärten']","['Vegetation_Orchards_OrchardCrop_Hops', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Vegetation,Permaculture,Vines,Vegetation_Permaculture_Vines,"[701, 717, 735]","['Reben', 'Rebflächen mit natürlicher Artenvielfalt', 'Reben (regionsspezifische Biodiversitätsförderflächen)']","['Vegetation_Orchards_OrchardCrop_Vines', 'Vegetation_Orchards_OrchardCrop_Vines', nan]"
